question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
Which of the following is not true about glomerular capillaries'),The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,opa,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,Glucose concentration in the capillaries is the same as that in glomerular filtrate,Constriction of afferent aeriole decreases the blood flow to the glomerulas,Hematocrit of the fluid leaving the capillaries is less than that of the fluid entering it,"Which of the following is not true about glomerular capillaries') The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it. Here is an additional explanation: Ans-a. The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it Guyton I LpJ1 4-.;anong 23/e p653-6_)Glomerular oncotic pressure (due to plasma protein content) is higher than that of filtrate oncotic pressure in Bowman's capsule""Since glucose is freely filtered and the fluid in the Bowman's capsule is isotonic with plasma, the concentration of glucose in the filtrate is the same as in the capillaries",Physiology,following true glomerular capillaries
A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,opc,No test is required now as her age is below 35 years,Ultra sound at this point of time will definitely tell her that next baby will be down syndromic or not,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,blood screening at this point of time will clear the exact picture,A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not. ,Medicine,yrs old woman pregnancy week years old boy syndrome want another syndrome kid best advice
Axonal transport is:,Antegrade and retrograde,opc,Antegrade,Retrograde,Antegrade and retrograde,None,Axonal transport is: Antegrade and retrograde. Here is an additional explanation: Fast anterograde (400 mm/day) transport occurs by kinesin molecular motor and retrograde transport (200 mm/day) occurs by dynein molecular motor.,Physiology,Axonal transport
Low insulin to glucagon ratio is seen in all of these except:,Glycogen synthesis,opa,Glycogen synthesis,Glycogen breakdown,Gluconeogenesis,Ketogenesis,"Low insulin to glucagon ratio is seen in all of these except: Glycogen synthesis. Here is an additional explanation: Answer- A. Glycogen synthesisLow insulin to glucagon ratio implies a catabolic state, i.e. usage of body stores to form energy, typically seen in fasting state ancl diabetes mellitus. Hence, this state will promote glycogen breakdown, gluconeogenesis as well as ketone body formation, while at the same time inhibiting glycogen synthesis and storage.",Biochemistry,Low insulin glucagon ratio seen except
Concentration of tropicamide:,0.01,opa,0.01,0.02,0.03,0.04,"Concentration of tropicamide: 0.01. Here is an additional explanation: Answer- A. 0.01Tropicamide is the shoest acting mydriatic, concentration used is 0.5-l% drops (0.005-0.010).Tropicamide:Concentration used: 0.5-l% drops (0.005-0.010)Duration of action: Though effective for upto 3 hours, maximum effect appear 30 minutes after the last drop and lasts for only 10-15 minutesUsed in Adults.",Ophthalmology,Concentration tropicamide
Which of the following statements is true regarding H I N1 Influenza?,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,opa,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,People on long-term steroids cannot receive Os-eltam ivir,Category B concerns with low risk cases,Category B patients have to undergo immediate testing,Which of the following statements is true regarding H I N1 Influenza? Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B. Here is an additional explanation: Ans: A. Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B(Ref. http..ilviww.molifir.nic.in/WriteReadData/1892s/ 804456402Categorisation.pcifi)Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B.Drug of choice - Oseltamivir (given for 10 days post-exposure). Priority groups (in order) for Influenza vaccinesPregnant womenHealthy young childrenAge >6 months with chronic medical conditionsHealthy adults 49-65 years15-49 years healthy young adultsHealthy adults > 65 years,Medicine,following statements true regarding H Influenza
Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.,Anterior ethmoidal aery,opb,Sphenopalatine aery,Anterior ethmoidal aery,Greater palatine aery,Septal branch of superior labial aery,"Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus. Anterior ethmoidal aery. Here is an additional explanation: *Kiesselbach's plexus: Antero superior pa is supplied by ANTERIOR & POSTERIOR ETHMOIDAL AERIES which are branches of ophthalmic aery, branch of INTERNAL CAROTID AERY. Antero inferior pa is supplied by SUPERIOR LABIAL AERY - branch of facial aery, which is branch of EXTERNAL CAROTID AERY. Postero superior pa is supplied by SPHENO-PALATINE AERY - branch of MAXILLARY aery, which is branch of ECA. POSTERO INFERIOR pa is supplied by branches of GREATER PALATINE AERY - branch of ECA Antero inferior pa/vestibule of septum contain anastomosis b/w septal ramus of superior labial branch of facial aery & branches of sphenopalatine, greater palatine & anterior ethmoidal aeries. These form a large capillary network called KIESSELBACH'S PLEXUS If dryness persists, bleeding will occur Therefore, in given options, Anterior ethmoidal aery is a branch of ICA not ECA",Anatomy,following branch external carotid Aery Kiesselbach plexus
Diagnosis of the following ECG-,Electrical alternans,opb,Ventricular bigeminy,Electrical alternans,P pulmonale,Left ventricular failure,Diagnosis of the following ECG- Electrical alternans. Here is an additional explanation: Option A- Broad QRS complex with normal sinus rhythm Digoxine toxicity Option B- P wave with fluctuating QRS complexes is seen. showing ELECTRICAL ALTERANS seen in large pericardial effusion in which hea is swinging. Option C- N Height in P wave: 2.5mm But in P-pulmonale: || by 1.5mm,Medicine,Diagnosis following
A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is –,Pulmonary atresia,opb,Ebstein's anomaly,Pulmonary atresia,Transposition of great arteries,Tetralogy of fallot,"A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is – Pulmonary atresia. Here is an additional explanation: The findings in this newborn are
Cyanosis at birth
Oligaemic lung .fields
Normal sized heart
Lets see each option one by one
Ebstein anomaly - It can be easily ruled out as there is marked cardiomegaly in it.
Transposition of great vessels- There is cardiomegaly and plethoric lung fields see in it. So ruled out.
Now the real confusion - between PA and TOF.
TOF - in TOF there is oligaemic lung fields and normal sized heart but usually cyanosis is not present at birth.
 
Nelson states -  ""Often cyanosis is not present at birth. but with increasing hypertrophy of the right ventricular infimdibulum and patient growth, cyanosis occurs later in the 1st year of life. But some cases may present with cyanosis at birth.""

a Pulmonary atresia -

The child is cyanotic at birth
There is pulmonary oligaemia
But the heart is of variable size (from small to enlarge)",Pediatrics,blue new born presents cyanosis chest reveal oligaemic lung field normal sized heart likely diagnosis
27.	The lateral spread of dental caries is facilitated mostly  by the,Dentinoenamel junction,opb,Enamel spindles,Dentinoenamel junction,Enamel lamellae,Striae of Retzius,27.	The lateral spread of dental caries is facilitated mostly  by the Dentinoenamel junction. ,Pathology,lateral spread dental caries facilitated mostly
